Dates,Mean
2019-01-01,286.0797222
2019-01-02,336.0480556
2019-01-03,349.6891667
2019-01-04,252.3044444
2019-01-05,260.048
2019-01-06,169.7957143
2019-01-07,183.5402857
2019-01-08,156.8916667
2019-01-09,143.3225
2019-01-10,173.8227778
2019-01-11,287.5947222
2019-01-12,311.2352778
2019-01-13,265.0664706
2019-01-14,92.61914286
2019-01-15,143.7428571
2019-01-16,279.0188889
2019-01-17,358.1471429
2019-01-18,240.6447222
2019-01-19,265.4041667
2019-01-20,305.2736111
2019-01-21,161.2544444
2019-01-22,54.27861111
2019-01-23,144.4611111
2019-01-24,124.6008333
2019-01-25,84.03457143
2019-01-26,103.4882857
2019-01-27,135.2019444
2019-01-28,124.1063889
2019-01-29,146.355
2019-01-30,211.6455556
2019-01-31,197.8461111
2019-02-01,181.6186111
2019-02-02,178.1244444
2019-02-03,131.4828571
2019-02-04,151.6874286
2019-02-05,259.4151429
2019-02-06,173.2971429
2019-02-07,62.97333333
2019-02-08,74.21638889
2019-02-09,87.05333333
2019-02-10,145.645
2019-02-11,175.1813889
2019-02-12,219.6269444
2019-02-13,199.3263889
2019-02-14,150.0994444
2019-02-15,127.2705556
2019-02-16,111.9677778
2019-02-17,99.85944444
2019-02-18,103.6970968
2019-02-19,134.6180556
2019-02-20,96.13888889
2019-02-21,77.44055556
2019-02-22,71.78694444
2019-02-23,57.84361111
2019-02-24,91.78611111
2019-02-25,88.95111111
2019-02-26,60.93916667
2019-02-27,54.87305556
2019-02-28,98.78805556
2019-03-01,96.78555556
2019-03-02,108.2477778
2019-03-03,65.85457143
2019-03-04,103.1141667
2019-03-05,70.83055556
2019-03-06,84.81416667
2019-03-07,105.4319444
2019-03-08,92.975
2019-03-09,73.39666667
2019-03-10,77.76444444
2019-03-11,80.84805556
2019-03-12,56.93777778
2019-03-13,93.86888889
2019-03-14,108.6791667
2019-03-15,75.39444444
2019-03-16,70.88305556
2019-03-17,94.78166667
2019-03-18,101.5344444
2019-03-19,105.0511111
2019-03-20,93.49333333
2019-03-21,112.2388571
2019-03-22,39.41194444
2019-03-23,55.48194444
2019-03-24,53.85638889
2019-03-25,66.90916667
2019-03-26,77.57194444
2019-03-27,80.16914286
2019-03-28,118.782
2019-03-29,111.9030556
2019-03-30,102.3305556
2019-03-31,58.04828571
2019-04-01,60.19111111
2019-04-02,91.72171429
2019-04-03,86.25888889
2019-04-04,118.6491667
2019-04-05,125.7866667
2019-04-06,99.19388889
2019-04-07,150.2533333
2019-04-08,80.60805556
2019-04-09,91.30361111
2019-04-10,97.75611111
2019-04-11,71.51305556
2019-04-12,61.88694444
2019-04-13,55.11194444
2019-04-14,52.5975
2019-04-15,57.50694444
2019-04-16,56.17722222
2019-04-17,23.70111111
2019-04-18,41.70888889
2019-04-19,73.22555556
2019-04-20,90.28083333
2019-04-21,96.50333333
2019-04-22,111.2320588
2019-04-23,102.2038235
2019-04-24,86.52857143
2019-04-25,83.84514286
2019-04-26,84.30514286
2019-04-27,72.96257143
2019-04-28,76.234375
2019-04-29,82.88147059
2019-04-30,94.47176471
2019-05-01,111.8770588
2019-05-02,73.78714286
2019-05-03,52.37285714
2019-05-04,88.918
2019-05-05,81.88685714
2019-05-06,120.0808571
2019-05-07,128.1766667
2019-05-08,144.2222222
2019-05-09,137.3077778
2019-05-10,90.15722222
2019-05-11,105.0434286
2019-05-12,173.1168571
2019-05-13,162.8594286
2019-05-14,61.70971429
2019-05-15,84.43685714
2019-05-16,76.56828571
2019-05-17,90.13028571
2019-05-18,47.25342857
2019-05-19,84.22228571
2019-05-20,90.16971429
2019-05-21,75.93485714
2019-05-22,65.99942857
2019-05-23,91.146
2019-05-24,45.99085714
2019-05-25,43.194
2019-05-26,56.20542857
2019-05-27,64.84285714
2019-05-28,65.96542857
2019-05-29,75.97911765
2019-05-30,85.19228571
